Code,Description
"10628","Bria Airport"
"10629","Keesler AFB"
"10630","Rocky Mountain Metro"
"10631","Bemidji Regional"
"10632","Wayne County"
"10633","Banjul International"
"10634","Bujumbura International"
"10635","Bahir Dar Ginbot Haya International"
"10636","Bajura Airport"
"10637","Imsik"
"10638","Guanajuato International"
"10639","Badajoz Airport"
"10640","Buckland Airport"
"10641","Baker City Municipal"
"10642","Brooks Lake Airport"
"10643","Branson Airport"
"10644","Barking Sands PMRF"
"10645","Kota Kinabalu International"
"10646","Don Mueang International"
"10647","Burke Lakefront"
"10648","Bakelalan Airport"
"10650","Modibo Keita"
"10651","Blackall Airport"
"10652","Fatmawati Soekarno"
"10653","Betioky Airport"
"10654","Raleigh County Memorial"
"10655","Brookings Regional"
"10656","Bukavu Kavumu"
"10657","Bukoba Airport"
"10658","General Jose Antonio Anzoategui International"
"10659","Albrook AFB"
"10660","Bali Airport"
"10661","Boulder City Municipal"
"10662","Borlange Airport"
"10663","Mercer County"
"10664","Belaga Airport"
"10665","Blythe Airport"
"10666","Bellingham International"
"10667","Mostepha Ben Boulaid"
"10668","Blackpool Airport"
"10669","Billund Airport"
"10670","Monmouth Executive"
"10671","Blonduos Airport"
"10672","Bellavista 1"
"10673","Bologna Airport"
"10674","Kempegowda International"
"10675","Blackwater Airport"
"10676","Scott AFB/MidAmerica"
"10677","Chileka International"
"10678","Bromma"
"10679","Bumba Airport"
"10680","Brigham City Airport"
"10681","Belo Sur Tsiribihina"
"10682","Broome International"
"10683","Monroe County"
"10684","Bomai Airport"
"10685","Central Illinois Regional"
"10686","Baramita Airport"
"10687","Berlin Regional"
"10688","Bitam Airport"
"10689","Banmaw"
"10690","Brampton Island Airport"
"10691","Bordj Mokhtar"
"10692","Big Mountain AFS"
"10693","Nashville International"
"10694","Boende Airport"
"10695","Bandar Abbas International"
"10696","Brisbane International"
"10697","Warm Spring Bay Seaplane Base"
"10698","Banning Municipal"
"10699","Benin City Airport"
"10700","Ballina Byron Gateway"
"10701","Barnwell Regional"
"10702","Bronnoy"
"10703","Burns Municipal"
"10704","Barinas Airport"
"10705","Banja Luka Airport"
"10706","Banz Airport"
